12B8Li6He,,10C11Be,,Reactor,,Th,,U,,hep,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
2.118619514888794,1575.1242618143883,2.202903975716354,1216.4047008269283,2.198815432007282,749.658856906697,2.202903975716354,551.7198363127775,2.1603507475358668,368.6335495135165,2.1663790796549494,1.629750981466364
2.1265056899801325,1575.0830383276434,2.215215277582756,954.8848259466313,2.209051050124162,484.8991038813629,2.215215277582756,294.0460999885632,2.1784862559552765,368.61184249516145,2.1825369989814685,1.629665676274317
2.1344212199212373,1575.041815919782,2.231737441262326,954.8348449161631,2.2172738401270653,484.88641330686914,2.2275953832442017,294.03455658863425,2.1886272405346294,368.59978359284196,2.198815432007282,1.6295803755473541
2.1423662139801873,1575.0005945907762,2.248382835354496,954.7848665018254,2.2275953832442017,484.8705505558123,2.2400446772223486,294.0230136418659,2.198815432007282,368.5877250850218,2.2152152775827565,1.629495079285242
2.150340781831792,1574.9593743405978,2.2651523789722154,954.7348907034814,2.2338113575772804,484.86103315427,2.2567520307609192,294.00762375106035,2.213158626250167,129.13503986866152,2.2317374412623265,1.6294097874877471
2.158345033559107,1574.9181551692182,2.2820469980836298,954.684917520995,2.2442098838330455,484.8451712335087,2.271473153900245,293.9941582574056,2.221396705956721,129.13166020095315,2.2483828353544966,1.6293245001546355
2.1663790796549494,1574.8769370766092,2.299067625563209,954.6349469542275,2.2567520307609192,484.82613761355816,2.2862903050761156,293.9806933804679,2.2317374412623265,129.12743574070203,2.2651523789722163,1.6292392172856736
2.174443031023427,1574.835720062743,2.3162152012432604,799.3443214879655,2.269364271600549,484.8071047408124,2.301204110693441,293.9672291202188,2.2442098838330455,129.1223665708249,2.2827536686116106,1.629150385710622
2.1825369989814685,1574.7945041275907,2.3334906719658206,809.0337959469158,2.2862903050761156,484.78172873942003,2.3162152012432604,175.40592452755374,2.2504722199560594,129.11983206051227,2.2799282988099585,1.6291645984371486
2.1886272405346294,1574.7635928841166,2.3508949916349406,812.2613065454956,2.301204110693441,484.75952582777734,2.3334906719658206,175.39674334819063,2.2609483035285165,129.1156079872111,2.299067625563209,1.6290686649392643
2.1947344765498285,1574.7326822473917,2.3684291212693562,808.9491045088765,2.3097699236722704,329.10835546461834,2.3508949916349406,175.38756264939315,2.2756967995680526,129.10969451674427,2.3162152012432604,1.602910673973
2.202903975716354,1574.6914690089018,2.3860940290555526,799.1769760024076,2.3140647795084486,329.10404879401887,2.3684291212693562,175.37838243113626,2.284167666229136,129.10631551236372,2.333490671965821,1.602826773668949
2.211103884354889,1297.466250045945,2.403890690401225,799.1351451054221,2.3226784639834834,329.0954356218892,2.3860940290555526,175.36920269339453,2.28841491645591,129.1046260433363,2.350894991634941,1.6027428777564439
2.2193343156591507,1297.432293307383,2.42182008798914,773.7182220085183,2.3313242113293984,329.0868226751795,2.403890690401225,170.4777700351785,2.299067625563209,129.10040246749048,2.3684291212693567,1.602658986235258
2.2275953832442017,1297.3983374575225,2.4398832118313925,773.6777236856032,2.3378296348765617,329.0803631130756,2.42182008798914,156.62334910581205,2.311916354269315,20.515125570447353,2.386094029055553,1.6025750991051615
2.2358872011480138,1297.3643824963403,2.4580810593240754,773.6372274824708,2.346531779695295,329.0717505608372,2.437617974177176,156.61617578599586,2.3183676213290596,20.51472288423036,2.4038906904012256,1.6024912163659246
2.2442098838330455,1297.3304284238131,2.476414635302352,773.5967333990092,2.3552663166624193,329.0631382340029,2.4535189122844066,156.60900279471636,2.3291597620794997,20.514051758100212,2.42182008798914,1.6024073380173176
